,code,tw_count,sentiment,age_0-15_perc,age_16-29_perc,age_30-44_perc,age_45-64_perc,age_65_perc,qual_4min,hh_1p_perc,hh_cpl_perc,hh_cpl_kids_perc,BAME_perc,house_price_2012,tweets_ihs,h_prices_ihs
845,E02000489,343,1.096209912536443,18.55657027,17.84627093,18.55657027,27.40994419,17.63064434,14.53576865,27.09984152,23.80348653,19.11251981,15.30948757,215000.0,6.53087975268405,12.971540487675153
846,E02000294,146,1.1438356164383563,24.27075121,21.37628111,19.99098998,22.84040996,11.52156774,15.1255772,23.06414091,17.97939515,22.39946826,51.01925893,220000.0,5.676765530341185,12.994530005899609
847,E02000482,276,1.108695652173913,17.13570982,13.91494684,16.71357098,28.56472795,23.6710444,24.03064415,25.29457973,25.21602514,23.95915161,5.941213257999999,343000.0,6.313551328134495,13.438632906710147
848,E02000172,1336,1.2103293413173652,19.67083867,26.50044348,23.03143786,20.20301567,10.59426431,29.69350547,37.24319159,13.04347826,12.73291925,37.43963733,375000.0,7.89058267472069,13.527828485514272
849,E02000284,2173,1.2650713299585825,19.81707317,16.91463415,25.23170732,24.29268293,13.74390244,29.46341463,32.0274521,22.44781241,20.64626823,18.84146341,250000.0,8.377011213760834,13.122363377408329
850,E02000297,363,1.115702479338843,17.45536675,18.15444182,19.18692192,27.9952678,17.20800172,27.69412777,24.12406663,26.3354394,21.88397473,24.94084749,358500.0,6.587551912078995,13.482831119583702
851,E02000307,379,1.1635883905013193,23.65035957,20.62189811,21.38154563,23.02238428,11.32381242,18.1201256,19.804038000000002,19.62589074,23.81235154,48.37435429999999,247500.0,6.630685126087978,13.11231304155491
852,E02000685,424,1.1839622641509433,21.16160958,17.619481699999998,26.82640969,22.12527673,12.26722229,28.55840604,35.95472148,16.86029193,15.07298183,42.93527803,232000.0,6.74288202640844,13.047639831213036
853,E02000291,815,1.2122699386503066,19.90138951,19.48677723,25.24652622,21.02196325,14.34334379,25.49305244,37.31865933,18.10905453,16.48324162,29.79605558,219000.0,7.396335670179082,12.989974189363796
854,E02000356,1075,1.2093023255813953,17.46528723,24.13558399,33.03838824,19.2621835,6.098557037999999,47.27742989,32.50636132,20.38804071,16.50763359,28.64143752,467500.0,7.673223337454791,13.748301808271968
855,E02000381,1219,1.214109926168991,17.23738414,22.92739444,31.35942327,20.48146241,7.994335736,47.76004119,38.34775328,20.98799888,14.59670667,24.38208033,522500.0,7.798933478282468,13.859527443381964
856,E02000608,1864,1.1915236051502145,11.096811099999998,33.29043329,32.27513228,14.84341484,8.494208494,45.43114543,42.04902577,26.86989315,12.19358894,22.00772201,329950.0,8.223627247758357,13.399843587373809
857,E02000042,1333,1.2138034508627158,17.08807219,20.26506251,27.56838049,20.97941536,14.09906946,36.63878184,33.49920832,19.99547614,18.50260122,42.03402575,276500.0,7.888334641433963,13.223113280507741
858,E02000456,44,1.2272727272727273,19.79033857,20.13033008,24.93271002,22.878594699999997,12.26802663,33.95665108,22.49203822,21.85509554,23.8455414,53.93115172,310000.0,4.477465921704087,13.337474757023875
859,E02000212,563,1.0976909413854352,26.61034847,20.87293207,25.36665493,19.85216473,7.297899801,19.10125543,23.74874034,12.05911992,21.63251596,70.24521882,185000.0,7.026427597419366,12.821258284627712
860,E02000047,573,1.1413612565445026,23.57337554,21.39277236,24.57574958,20.09144465,10.36665787,19.08907061,25.96630327,16.0555005,19.72249752,53.94355051,234000.0,7.044033658705184,13.05622357490435
861,E02000606,6382,1.1778439360701973,11.14079351,32.45275552,29.41525675,17.27515583,9.716038389,46.17591768,39.48739321,23.29652011,12.19003959,23.41941229,320000.0,9.454383993536128,13.369223455338297
