,gss_code,group,tw_count,tw_neg_count,tw_neg_ratio,sentiment,sent_vader,sentpos_tfidflr,shannon
460,E05000387,B,2014,13,0.006454816285998014,1.2423038728897715,0.3505881330685204,0.7912807037568559,1.2919060073446698
461,E05000391,D,5949,51,0.008572869389813415,1.1894436039670533,0.30461432173474534,0.7937427080924847,1.0257535150934665
462,E05000392,F,1448,8,0.0055248618784530384,1.2700276243093922,0.4804864640883978,0.8070033359460864,1.306025399924277
463,E05000389,B,5556,54,0.009719222462203024,1.2348812095032398,0.36274854211663066,0.7790749819964136,0.7277259541583039
464,E05000396,D,3081,23,0.007465108730931516,1.2203829925348912,0.36540736773774746,0.7601112411987276,0.7683510961784095
465,E05000399,D,6739,53,0.007864668348419647,1.243656328832171,0.3968660780531236,0.7805287262702737,1.2156035354578554
466,E05000397,F,11479,118,0.010279641083718094,1.1992333826988413,0.3649446118999913,0.7666858900536839,1.051331792501681
467,E05000383,D,46906,266,0.005670916300686479,1.1612160491195156,0.340830573913785,0.782499057554222,0.8126356342980077
468,E05000382,D,1499,14,0.009339559706470981,1.1480987324883256,0.3054087391594396,0.7440680825601482,0.9102433337484248
469,E05000394,D,16221,208,0.012822883915911474,1.1965970038838543,0.3616216756056963,0.7599764714645248,0.9899977814683789
470,E05000393,B,3686,203,0.0550732501356484,1.0303852414541508,0.0436139175257732,0.635759113451107,0.9682182711563943
471,E05000385,E,7614,65,0.008536905700026267,1.1866298923036511,0.33338941423693197,0.7692156701642142,1.0717300941124526
472,E05000398,E,586,7,0.011945392491467578,1.1689419795221843,0.30184300341296927,0.7361614480943334,0.9318079905771859
473,E05000388,D,3516,46,0.013083048919226393,1.1379408418657564,0.3177052616609784,0.7094849915496136,0.5502728069638475
474,E05000386,D,4159,54,0.012983890358259196,1.2334695840346237,0.36459663380620344,0.7692035619821193,0.38131648785332906
475,E05000395,D,7604,84,0.011046817464492372,1.1771436086270384,0.3276602972119937,0.7564141722346662,0.6300305964883217
476,E05000390,D,6093,42,0.006893156080748399,1.2212374856392583,0.35787282127031017,0.7842796153431236,1.0845310521419662
477,E05000384,D,10354,108,0.010430751400424957,1.194224454317172,0.3557486864979718,0.7715445131472746,0.9845298991308578
478,E05000644,D,947836,9340,0.009854025379918046,1.190050810477762,0.4164385765047962,0.7547970668245187,0.8392305964049606
479,E05000638,D,5629,53,0.009415526736542904,1.1614851661041037,0.33884109077988983,0.7642080712429405,0.5866590638755285
480,E05000637,D,56355,625,0.011090409014284448,1.154076834353651,0.30869603939313284,0.7658038286129697,0.7878781161838868
481,E05000636,D,13856,172,0.012413394919168591,1.1250721709006928,0.32090452511547346,0.7342554800070011,0.8672635253025812
482,E05000633,B,2619,35,0.013363879343260786,1.1378388697976327,0.32311428025964106,0.7422311159126915,0.8035758753706652
483,E05000646,D,5971,60,0.010048568079048735,1.141014905375984,0.27619430581142185,0.7432974992264099,0.9316785206824009
484,E05000649,D,182819,1392,0.007614088251221153,1.188415864871813,0.34112573966600845,0.7727409091105716,0.4744822052693097
